ch,pyn,py,en
煞,sha1 / sha4,shā,"decrease / tighten, baleful / bring to a stop / very
fiend / demon / very / (Tw) SARS (loanword)"
巾,jin1,jīn,"towel
towel / general purpose cloth / women's headcovering (old) / Kangxi radical 50"
滥,lan4,làn,"excessive / indiscriminate
overflowing / excessive / indiscriminate"
洒,sa3,sǎ,"spill / sprinkle
to sprinkle / to spray / to spill / to shed"
堵,du3,dǔ,"stop up
to stop up / (to feel) stifled or suffocated / wall / classifier for walls"
瓷,ci2,cí,"chinaware / porcelain
chinaware / porcelain / china"
咒,zhou4,zhòu,"put a curse on
incantation / magic spell / curse / malediction / to revile / to put a curse on sb"
姨,yi2,yí,"one's mother's sister / aunt
mother's sister / aunt"
棒,bang4,bàng,"a stick / club or cudgel / smart / capable / strong
stick / club / cudgel / smart / capable / strong / wonderful / classifier for legs of a relay race"
郡,jun4,jùn,"canton / county / region
canton / county / region"
浴,yu4,yù,"bath / to bathe
bath / to bathe"
媚,mei4,mèi,"flatter / charm
flatter / charm"
稣,su1,sū,"revive
archaic variant of 蘇|苏[su1] / to revive"
淮,huai2,huái,"name of a river
name of a river"
哎,ai1,āi,"an interjection / hey / lookout / why etc
hey! / (interjection used to attract attention or to express surprise or disapprobation)"
屁,pi4,pì,"to break wind / to fart
fart / flatulence / nonsense / (usu. in the negative) what / (not) a damn thing"
漆,qi1,qī,"paint / lacquer
paint / lacquer / CL:道[dao4] / to paint (furniture, walls etc)"
淫,yin2,yín,"excessive / wanton / lewd / kinky / obscene
erroneous variant of 淫[yin2]"
巢,chao2,cháo,"nest
nest"
吩,fen1,fēn,"leave instructions / to order
leave instructions / to order"
撰,zhuan4,zhuàn,"compose / compile, compose / compile / discourse in praise
variant of 撰[zhuan4]"
啸,xiao4,xiào,"to hiss / to whistle
to hiss / to whistle"
滞,zhi4,zhì,"sluggish
sluggish"
玫,mei2,méi,"rose
(fine jade) / see 玫瑰[mei2 gui1]"
硕,shuo4,shuò,"large / big
large / big"
钓,diao4,diào,"to fish with a hook and bait
to fish with a hook and bait"
蝶,die2,dié,"butterfly
butterfly / CL:隻|只[zhi1]"
膝,xi1,xī,"knee
knee"
姚,yao2,yáo,"Yao (a surname)
handsome / good-looking"
茂,mao4,mào,"luxuriant
luxuriant / (chemistry) cyclopentadiene"
躯,qu1,qū,"human body
human body"
吏,li4,lì,"minor official
minor government official or functionary (old)"
猿,yuan2,yuán,"ape
variant of 猿[yuan2]"
寨,zhai4,zhài,"stronghold / stockade
variant of 寨[zhai4]"
恕,shu4,shù,"forgive
to forgive"
渠,qu2,qú,"big / stream or canal / drain / ditch
big / stream or canal / drain / ditch / CL:條|条[tiao2] / him (dialect) / outer rim of a carriage wheel (old)"
戚,qi1,qī,"ashamed / grief, (surname) / relative
relative / parent / grief / sorrow / battle-axe"
辰,chen2,chén,"5th earthly branch / 7-9 a.m.
5th earthly branch: 7-9 a.m., 3rd solar month (5th April-4th May), year of the Dragon / ancient Chinese compass point: 120°"
舶,bo2,bó,"sea-going vessels / ship
sea-going vessels / ship"
颁,ban1,bān,"promulgate / send out / issue / to grant or confer
to promulgate / to send out / to issue / to grant or confer"
惶,huang2,huáng,"frightened
frightened"
狐,hu2,hú,"fox
fox"
讽,feng4 / feng3,fēng,"satirize
to satirize / to mock / to recite / Taiwan pr. [feng4]"
笨,ben4,bèn,"stupid / foolish / silly / slow-witted / clumsy
stupid / foolish / silly / slow-witted / clumsy"
袍,pao2,páo,"gown (lined)
gown (lined)"
嘲,chao2 / zhao1,cháo,"ridicule / mock, to ridicule
see 嘲哳, (onom.) twitter / twittering sound"
啡,fei1,fēi,"coffee
(phonetic component)"
泼,po1,pō,"splash / to spill
to splash / to spill / rough and coarse / brutish"
衔,xian2,xián,"hold in mouth, hold in mouth / nominal office
bit (of a bridle) / to hold in the mouth / to harbor (feelings) / to link / to accept / rank / title"
倦,juan4,juàn,"tired
old variant of 倦[juan4]"
涵,han2,hán,"contain
to contain / to include / culvert"
雀,qiao1 / qiao3 / que4,què,"lentigo, bird, bird
small bird / sparrow / also pr. [qiao3]"
旬,xun2,xún,"ten days / ten years
ten days / ten years / full period"
僵,jiang1,jiāng,"rigid / deadlock / stiff (corpse), stiff (corpse)
variant of 僵[jiang1]"
撕,si1,sī,"to tear
to tear"
肢,zhi1,zhī,"limb
limb"
垄,long3,lǒng,"monopolize
ridge between fields / row of crops / grave mound"
夷,yi2,yí,"a barbarian
non-Han people, esp. to the East of China / barbarians / to wipe out / to exterminate / to tear down / to raze"
逸,yi4,yì,"escape / leisurely / outstanding
to escape / leisurely / outstanding"
茅,mao2,máo,"(surname) / thatch
reeds / rushes"
侨,qiao2,qiáo,"emigrant / reside abroad
emigrant / to reside abroad"
舆,yu2,yú,"carriage / sedan chair / world
carriage / sedan chair / world"
窑,yao2,yáo,"kiln / oven
variant of 窯|窑[yao2]"
涅,nie4,niè,"blacken
variant of 涅[nie4]"
蒲,pu2,pú,"calamus
refers to various monocotyledonous flowering plants including Acorus calamus and Typha orientalis / common cattail / bullrush"
谦,qian1,qiān,"modest
modest"
杭,hang2,háng,"(surname) / Hangzhou
surname Hang / Hangzhou"
噢,o1,ō,"Oh!
Oh!"
弊,bi4,bì,"detriment / fraud / harm / defeat
detriment / fraud / harm / defeat"
勋,xun1,xūn,"medal / merit
variant of 勛|勋[xun1]"
刮,gua1,guā,"to scrape / to blow, blow (of the wind)
to blow (of the wind)"
郊,jiao1,jiāo,"suburb
suburbs / outskirts"
凄,qi1,qī,"intense cold / mournful, sorrowful
intense cold / frigid / dismal / grim / bleak / sad / mournful"
捧,peng3,pěng,"hold or offer with both hands
to clasp / to cup the hands / to hold up with both hands / to offer (esp. in cupped hands) / to praise / to flatter"
浸,jin4,jìn,"immerse / soak / steep
to immerse / to soak / to steep / gradually"
砖,zhuan1,zhuān,"brick
brick / CL:塊|块[kuai4]"
鼎,ding3,dǐng,"tripod
ancient cooking cauldron with two looped handles and three or four legs / pot (dialect) / to enter upon a period of (classical) / Kangxi radical 206 / one of the 64 hexagrams of the Book of Changes"
篮,lan2,lán,"basket / goal
basket / goal"
蒸,zheng1,zhēng,"to steam
to evaporate / (of cooking) to steam / torch made from hemp stalks or bamboo (old) / finely chopped firewood (old)"
饼,bing3,bǐng,"round flat cake / cookie / cake / pastry
round flat cake / cookie / cake / pastry / CL:張|张[zhang1]"
亩,mu3,mǔ,"about 1 / 6 acre (M)
old variant of 畝|亩[mu3]"
肾,shen4,shèn,"kidney
kidney"
陡,dou3,dǒu,"steep
steep / precipitous / abrubtly / suddenly / unexpectedly"
爪,zhua3 / zhao3,zhuǎ,"claw
claw"
兔,tu4,tù,"rabbit
rabbit"
殷,yan1 / yin1 / yin3,yīn,"dark red, (surname) / dynasty / flourishing, roll of thunder
roll of thunder"
贞,zhen1,zhēn,"chaste
chaste"
荐,jian4,jiàn,"recommend (a person)
to recommend / to offer sacrifice (arch.) / grass / straw mat"
哑,ya1 / ya3,yǎ,"(onomat.), dumb / mute
dumb / mute / hoarse / husky / unexploded (of artillery shell etc)"
炭,tan4,tàn,"carbon / charcoal
wood charcoal / coal"
坟,fen2,fén,"a grave
grave / tomb / CL:座[zuo4] / embankment / mound / ancient book"
眨,zha3,zhǎ,"wink
to blink / to wink"
搏,bo2,bó,"fight / combat / seize
to fight / to combat / to seize / (of heart) to beat"
咳,hai1 / ke2,ké,"sound of sighing, cough
cough"
拢,long3,lǒng,"collect / draw near to
to gather together / to collect / to approach / to draw near to / to add / to sum up / to comb (hair)"
舅,jiu4,jìu,"maternal uncle
maternal uncle"
昧,mei4,mèi,"conceal / dark
to conceal / dark"
擅,shan4,shàn,"usurp / without authority
without authority / to usurp / to arrogate to oneself / to monopolize / expert in / to be good at"
爽,shuang3,shuǎng,"invigorating / straightforward / frank / open / bright / clear
bright / clear / crisp / open / frank / straightforward / to feel well / fine / pleasurable / invigorating / to deviate"
咖,ka1,kā,"coffee
coffee / class / grade"
搁,ge1,gē,"to place
to bear / to stand / to endure"
禄,lu4,lù,"good fortune / official salary
good fortune / official salary"
雌,ci2,cí,"female
female / Taiwan pr. [ci1]"
哨,shao4,shào,"a whistle / sentry
a whistle / sentry"
巩,gong3,gǒng,"secure / solid
secure / solid"
绢,juan4,juàn,"thick but loosely woven silk
thin, tough silk fabric"
螺,luo2,luó,"screw / snail
spiral shell / snail / conch"
裹,guo3,guǒ,"wrap around
to bind / to wrap / a bundle / a parcel"
昔,xi1,xī,"past / former
former times / the past / Taiwan pr. [xi2]"
轩,xuan1,xuān,"covered carriage / pavilion
pavilion with a view / high / tall / high fronted, curtained carriage (old)"
谬,miu4,mìu,"absurd / erroneous
to deceive / to confuse / to cheat / absurd / erroneous"
谍,die2,dié,"to spy
to spy"
龟,gui1,gūi,"tortoise / turtle
tortoise / turtle"
媳,xi2,xí,"daughter in law
daughter-in-law"
姜,jiang1,jiāng,"(surname) / ginger, ginger
ginger"
瞎,xia1,xiā,"blind
blind / groundlessly / foolishly / to no purpose"
冤,yuan1,yuān,"injustice / to wrong
old variant of 冤[yuan1]"
鸦,ya1,yā,"crow
variant of 鴉|鸦[ya1]"
蓬,peng2,péng,"(grass) / disheveled
fleabane (family Asteraceae) / disheveled / classifier for luxuriant plants, smoke, ashes, campfires: clump, puff"
巷,xiang4,xiàng,"lane / alley
lane / alley"
琳,lin2,lín,"gem
gem"
栽,zai1,zāi,"to force / to stick in / to plant
to grow / to plant / to insert / to force on sb / to fall head first"
沾,zhan1,zhān,"infected by / moisten / receive favors, moisten
variant of 沾[zhan1] / to moisten"
诈,zha4,zhà,"crafty / dishonest
to cheat / to swindle / to pretend / to feign / to draw sb out / to try to extract information by deceit or bluff"
斋,zhai1,zhāi,"a fast / studio
to fast or abstain from meat, wine etc / vegetarian diet / study room / building / to give alms (to a monk)"
瞒,man2,mán,"conceal from
to conceal from / to keep (sb) in the dark"
彪,biao1,biāo,"a tiger-cat / stripes / streaks / veins
tiger stripes / tiger cub / (old) classifier for troops"
厄,e4,è,"distressed
variant of 厄[e4]"
咨,zi1,zī,"consult
to consult"
纺,fang3,fǎng,"spin
to spin (cotton or hemp etc) / fine woven silk fabric"
罐,guan4,guàn,"can / jar / pot
variant of 罐[guan4]"
桶,tong3,tǒng,"pail / bucket / bin / barrel
bucket / (trash) can / barrel (of oil etc) / CL:個|个[ge4],隻|只[zhi1]"
壤,rang3,rǎng,"soil / earth
soil / earth"
糕,gao1,gāo,"cake
variant of 糕[gao1]"
颂,song4,sòng,"to praise
ode / eulogy / to praise in writing / to wish (in letters)"
膨,peng2,péng,"swollen
swollen"
谐,xie2,xié,"harmonious
harmonious"
垒,lei3,lěi,"rampart
rampart / base (in baseball) / to build with stones, bricks etc"
咕,gu1,gū,"mutter
(onom.) for the sound of a bird, an empty stomach etc"
隙,xi4,xì,"crack / occasion for dislike
crack / crevice / gap or interval / loophole / discord / rift"
辣,la4,là,"hot (spicy) / pungent
hot (spicy) / pungent"
绑,bang3,bǎng,"to tie / bind or fasten together
to tie / bind or fasten together / to kidnap"
宠,chong3,chǒng,"to love / to pamper / to spoil / to favor
to love / to pamper / to spoil / to favor"
嘿,hei1,hēi,"hey
hey"
兑,dui4,dùi,"to cash
to cash / to exchange / to add (liquid) / to blend / one of the Eight Trigrams 八卦[ba1 gua4], symbolizing swamp / ☱"
霉,mei2,méi,"bacteria / fungi / moldy
variant of 霉[mei2]"
挫,cuo4,cuò,"be obstructed / fail / oppress / repress / lower the tone / bend back / dampen
obstructed / to fail / to oppress / to repress / to lower the tone / to bend back / to dampen"
稽,ji1 / qi3,jī,"inspect / check, bow to the ground
to bow to the ground"
辐,fu2,fú,"spoke of a wheel
spoke of a wheel"
乞,qi3,qǐ,"beg
to beg"
纱,sha1,shā,"cotton yarn / muslin
cotton yarn / muslin"
裙,qun2,qún,"skirt
old variant of 裙[qun2]"
嘻,xi1,xī,"laugh / giggle
(interjection expressing surprise, grief etc) / variant of 嘻[xi1]"
哇,wa1 / wa,wā,"sound of child's crying
replaces 啊[a5] when following the vowel ""u"" or ""ao"""
绣,xiu4,xìu,"to embroider
to embroider / embroidery"
杖,zhang4,zhàng,"cane, walking stick
a staff / a rod / cane / walking stick / to flog with a stick (old)"
塘,tang2,táng,"pond
dyke / embankment / pool or pond / hot-water bathing pool"
衍,yan3,yǎn,"to spread out / to develop / to overflow / to amplify
to spread out / to develop / to overflow / to amplify / superfluous"
轴,zhou2 / zhu2,zhóu,"axis / axle, axis / axle
see 壓軸戲|压轴戏[ya1 zhou4 xi4] / Taiwan pr. [zhou2]"
攀,pan1,pān,"climb up / pull
to climb (by pulling oneself up) / to implicate / to claim connections of higher status"
膊,bo2,bó,"shoulder / upper arm
shoulder / upper arm"
譬,pi4,pì,"give an example
to give an example"
斌,bin1,bīn,"ornamental / refined
variant of 彬[bin1]"
祈,qi2,qí,"implore / pray / please
to implore / to pray / to request"
踢,ti1,tī,"kick / play (football or soccer)
to kick / to play (e.g. soccer)"
肆,si4,sì,"four (fraud-proof) / market
four (banker's anti-fraud numeral) / unrestrained / wanton / (literary) shop"
坎,kan3,kǎn,"pit / threshold
old variant of 坎[kan3] / pit / hole"
轿,jiao4,jiào,"sedan chair
a sedan chair / a palanquin / a litter"
棚,peng2,péng,"shed
shed / canopy / shack"
泣,qi4,qì,"to sob
to sob"
屡,lu:3 / lv3,lv̌,"time and again
time and again / repeatedly / frequently"
躁,zao4,zào,"hot-tempered / impatient
hot-tempered / impatient"
邱,qiu1,qīu,"(surname) / mound
mound"
凰,huang2,huáng,"phoenix
phoenix"
溢,yi4,yì,"overflow
to overflow / (literary) excessive / old variant of 鎰|镒[yi4]"
椎,chui2 / zhui1,zhūi,"a hammer, spine
spine"
砸,za2,zá,"smash / smashed
to smash / to pound / to fail / to muck up / to bungle"
趟,tang4,tàng,"a time / a trip
classifier for times, round trips or rows / a time / a trip"
帘,lian2,lián,"wine shop sign
hanging screen or curtain"
帆,fan1,fān,"sail
to gallop / Taiwan pr. [fan2] / variant of 帆[fan1]"
栖,qi1 / xi1,qī,"to roost / to inhabit / to stay / habitat, to roost / to inhabit / to stay / habitat
to perch / to rest (of birds) / to dwell / to live / to stay"
窜,cuan4,cuàn,"flee / escape / run away / leap
to flee / to scuttle / to exile or banish / to amend or edit"
丸,wan2,wán,"pill
ball / pellet / pill"
斩,zhan3,zhǎn,"behead / chop
to behead (as form of capital punishment) / to chop"
堤,di1,dī,"dike
variant of 堤[di1]"
塌,ta1,tā,"collapse
to collapse / to droop / to settle down"
贩,fan4,fàn,"deal in / trade in / to peddle / to sell
to deal in / to buy and sell / to trade in / to retail / to peddle"
厢,xiang1,xiāng,"box (in theater) / side room
box (in theater) / side room / side"
掀,xian1,xiān,"lift (cover)
to lift (a lid) / to rock / to convulse"
喀,ka1,kā,"(onomat.)
(onom.) sound of coughing or vomiting"
乖,guai1,guāi,"(of a child) obedient, well-behaved / clever
(of a child) obedient, well-behaved / clever / shrewd / alert / perverse / contrary to reason / irregular / abnormal"
谜,mi2,mí,"riddle
riddle"
捏,nie1,niē,"to pinch (with one's fingers) / to knead / to make up
variant of 捏[nie1]"
阎,yan2,yán,"(surname) / gate of village
Yama / gate of village / surname Yan"
滨,bin1,bīn,"shore / beach / coast / bank
shore / beach / coast / bank / to border on"
虏,lu3,lǔ,"take captive
prisoner of war / to capture / to take prisoner / (old) northern barbarian / slave"
匙,chi2 / shi,chí,"spoon
spoon"
芦,lu2,lú,"rush / reed / Phragmites communis
rush / reed / Phragmites communis"
苹,pin2 / ping2,píng,"marsiliaceae / clover fern, (artemisia) / duckweed, apple
apple"
卸,xie4,xiè,"unload / take off
to unload / to unhitch / to remove or strip / to get rid of"
沼,zhao3,zhǎo,"pond / pool
pond / pool"
钥,yao4 / yue4,yào,"key, key
key / also pr. [yao4]"
株,zhu1,zhū,"(a measure word, use with plants) / trunk of tree
tree trunk / stump (tree root) / a plant / classifier for trees or plants / to involve others (in shady business)"
祷,dao3,dǎo,"prayer / pray / supplication
prayer / pray / supplication"
剖,pou1,pōu,"to cut
to cut open / to analyze / Taiwan pr. [pou3]"
熙,xi1,xī,"prosperous / splendid
prosperous / splendid"
哗,hua1 / hua2,huā,"crashing sound, cat-calling sound / clamor / noise, clamor / noise
variant of 嘩|哗[hua2]"
劈,pi1 / pi3,pī,"hack / chop / split open, split in two / divide
to split in two / to divide"
怯,qie4,qiè,"afraid / rustic
timid / cowardly / rustic / Taiwan pr. [que4]"
棠,tang2,táng,"cherry-apple
cherry-apple"
胳,ge1,gē,"armpit
armpit"
桩,zhuang1,zhuāng,"item / stump / stake / pile
stump / stake / pile / classifier for items"
瑰,gui1,gūi,"(semi-precious stone) / extraordinary
old variant of 瑰[gui1]"
娱,yu2,yú,"amuse
to amuse"
娶,qu3,qǔ,"take a wife
to take a wife / to marry (a woman)"
